GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Afisha,ru.netology.manager,CartManager,109,0,6,0,23,0,7,0,4,0
Afisha,ru.netology.manager,AfishaManager,0,90,0,8,0,17,0,6,0,2
